cdli_name,unicode_name
3(N41),PROTO-CUNEIFORM NUMBER THREE-N41
3(N42~a),PROTO-CUNEIFORM NUMBER THREE-N42-A
3(N42~b),PROTO-CUNEIFORM NUMBER THREE-N42-B
3(N45),PROTO-CUNEIFORM NUMBER THREE-N45
3(N45@f),PROTO-CUNEIFORM NUMBER THREE-N45 FLAT
3(N46),PROTO-CUNEIFORM NUMBER THREE-N46
3(N47),PROTO-CUNEIFORM NUMBER THREE-N47
3(N48),PROTO-CUNEIFORM NUMBER THREE-N48
3(N49),PROTO-CUNEIFORM NUMBER THREE-N49
3(N50),PROTO-CUNEIFORM NUMBER THREE-N50
3(N51),PROTO-CUNEIFORM NUMBER THREE-N51
3(N51@f),PROTO-CUNEIFORM NUMBER THREE-N51 FLAT
3(N52),PROTO-CUNEIFORM NUMBER THREE-N52
3(N53),PROTO-CUNEIFORM NUMBER THREE-N53
3(N54),PROTO-CUNEIFORM NUMBER THREE-N54
3(N57),PROTO-CUNEIFORM NUMBER THREE-N57
|3(N57).AMAR|,PROTO-CUNEIFORM SIGN THREE-N57 BESIDE AMAR
|3(N57).BARA3|,PROTO-CUNEIFORM SIGN THREE-N57 BESIDE BARA3
|3(N57).E2~b|,PROTO-CUNEIFORM SIGN THREE-N57 BESIDE E2-B
|3(N57).GAR|,PROTO-CUNEIFORM SIGN THREE-N57 BESIDE GAR
|3(N57).NUNUZ~a1|,PROTO-CUNEIFORM SIGN THREE-N57 BESIDE NUNUZ-A1
|3(N57).NUNUZ~c|,PROTO-CUNEIFORM SIGN THREE-N57 BESIDE NUNUZ-C
|3(N57).PIRIG~b1|,PROTO-CUNEIFORM SIGN THREE-N57 BESIDE PIRIG-B1
|3(N57).SZUBUR|,PROTO-CUNEIFORM SIGN THREE-N57 BESIDE SHUBUR
3(N58),PROTO-CUNEIFORM NUMBER THREE-N58
|3(N58).UR3~b1|,PROTO-CUNEIFORM SIGN THREE-N58 BESIDE UR3-B1
3(N59),PROTO-CUNEIFORM NUMBER THREE-N59
3(N61),PROTO-CUNEIFORM NUMBER THREE-N61
4(N01),PROTO-CUNEIFORM NUMBER FOUR-N1
4(N01@f),PROTO-CUNEIFORM NUMBER FOUR-N1 FLAT
4(N02),PROTO-CUNEIFORM NUMBER FOUR-N2
4(N03),PROTO-CUNEIFORM NUMBER FOUR-N3
4(N04),PROTO-CUNEIFORM NUMBER FOUR-N4
4(N04@f),PROTO-CUNEIFORM NUMBER FOUR-N4 FLAT
4(N05),PROTO-CUNEIFORM NUMBER FOUR-N5
4(N08),PROTO-CUNEIFORM NUMBER FOUR-N8
