	9(bur)		9(bur₃)
	abzu		abzu₂
	giri⁻		giri₁₆⁻
	udilia		udilia
	zizna		zizna
×BAD|	×BAD|
@sign	HI	@sign	HI
@sign	HU	@sign	HU
@sign	HUB	@sign	HUB₂
@sign	HUL	@sign	HUL₂
@sign	I	@sign	I
@sign	IA	@sign	IA₂
@sign	IB	@sign	IB
@sign	IDIM	@sign	IDIM
@sign	IG	@sign	IG
@sign	IGI	@sign	IGI
@sign	IGI@g	@sign	IGI@g
@sign	IL	@sign	IL
@sign	ILIMMU	@sign	ILIMMU
@sign	ILIMMU3	@sign	ILIMMU3
@sign	IL	@sign	IL₂
@sign	IM	@sign	IM
@sign	IMIN	@sign	IMIN
@sign	IN	@sign	IN
@sign	IR	@sign	IR
@sign	IŠ	@sign	IŠ
@sign	KA	@sign	KA
@sign	KA@180	@sign	KA@180
@sign	KAB	@sign	KAB
@sign	KAD	@sign	KAD₂
@sign	KAD	@sign	KAD₃
@sign	KAD	@sign	KAD₄
@sign	KAD	@sign	KAD₅
@sign	KAK	@sign	KAK
@sign	KAL	@sign	KAL
@sign	KAM	@sign	KAM₂
@sign	KAM	@sign	KAM₄
@sign	KAP	@sign	KAP₀
@sign	KASKAL	@sign	KASKAL
@sign	KA	@sign	KA₂
@sign	KEŠ	@sign	KEŠ₂
@sign	KI	@sign	KI
@sign	KID	@sign	KID
@sign	KIN	@sign	KIN
@sign	KINGUSILI	@sign	KINGUSILI
@sign	KISAL	@sign	KISAL
@sign	KISIM	@sign	KISIM₅
@sign	KIŠ	@sign	KIŠ
@sign	KIŠ@g	@sign	KIŠ@g
@sign	KU	@sign	KU
@sign	KUL	@sign	KUL
@sign	KUN	@sign	KUN
@sign	KUR	@sign	KUR
@sign	KU	@sign	KU₃
@sign	KU	@sign	KU₄
@sign	KU	@sign	KU₇
@sign	KUŠU	@sign	KUŠU₂
@sign	KWU318	@sign	KWU318
@sign	KWU715	@sign	KWU715
@sign	KWU733	@sign	KWU733
@sign	KWU822	@sign	KWU822
@sign	LA	@sign	LA
@sign	LA@n	@sign	LA@n
@sign	LAGAB	@sign	LAGAB
@sign	LAGAR	@sign	LAGAR
@sign	LAGAR@g	@sign	LAGAR@g
@sign	LAHŠU	@sign	LAHŠU
@sign	LAK046a	@sign	LAK046a
@sign	LAK079	@sign	LAK079
@sign	LAK099	@sign	LAK099
@sign	LAK11	@sign	LAK11
@sign	LAK120	@sign	LAK120
@sign	LAK13	@sign	LAK13
@sign	LAK130	@sign	LAK130
@sign	LAK132	@sign	LAK132
@sign	LAK141	@sign	LAK141
@sign	LAK142	@sign	LAK142
@sign	LAK151	@sign	LAK151
